REGISTRY,NAME,YEAR1,YEAR2
 4000000,Austria,1998,2012
 4000700,Austria_Tyrol,1988,2012
 4000800,Austria_Vorarlberg,1993,2012
10000000,Bulgaria,1998,2012
19100000,Croatia,1988,2012
19600000,Cyprus,1998,2012
20300000,Czech_Republic,1988,2012
20800000,Denmark,1978,2012
23300000,Estonia,1983,2012
25000100,France_Bas-Rhin,1977,2011
25000200,France_Calvados,1978,2012
25000400,France_Doubs,1978,2012
25000500,France_Haut-Rhin,1988,2012
25000600,France_Manche,1994,2012
25000700,France_Herault,1988,2012
25000800,France_Isere,1979,2012
25001200,France_Somme,1983,2012
25001400,France_Loire-Atlantique,1998,2012
27600200,Germany_Hamburg,1998,2012
27600300,Germany_Saarland,1973,2012
35200000,Iceland,1958,2012
37200000,Ireland,1994,2012
38002000,Italy_Modena,1988,2012
38001700,Italy_Biella,1998,2012
38001600,Italy_Naples,1998,2012
38000500,Italy_Parma,1978,2012
38000700,Italy_Romagna,1988,2012
38000600,Italy_Ragusa,1983,2012
38002200,Italy_Ferrara,1992,2011
38001900,Italy_Veneto,1991,2010
44000000,Lithuania,1993,2012
47000000,Malta,1993,2012
52800000,Netherlands,1989,2012
57800000,Norway,1953,2012
61600700,Poland_Kielce,1998,2012
70300000,Slovakia,1971,2010
70500000,Slovenia,1983,2012
72400200,Spain_Basque-Country,1988,2012
72400300,Spain_Tarragona,1983,2012
72400400,Spain_Granada,1988,2012
72400500,Spain_Murcia,1986,2010
72400600,Spain_Navarra,1976,2010
72400900,Spain_Albacete,1991,2010
72401000,Spain_Girona,1993,2012
72401100,Spain_Canary-Islands,1993,2011
72401300,Spain_Cuenca,1993,2011
75600200,Switzerland_Geneva,1973,2012
75600300,Switzerland_Neuchatel,1983,2012
75600400,Switzerland_St Gall-Appenzell,1983,2012
75600500,Switzerland_Vaud,1988,2012
75600800,Switzerland_Valais,1993,2012
75601000,Switzerland_Ticino,1998,2012
82606500,UK_England_North-East,1995,2012
82606600,UK_England_North-West,1995,2012
82606800,UK_England_Yorkshire-Humber,1995,2012
82606900,UK_England_East-Midlands,1995,2012
82607000,UK_England_West-Midlands,1995,2012
82607100,UK_England_East-England,1995,2012
82607200,UK_England_London,1995,2012
82607400,UK_England_South-East,1995,2012
82607500,UK_England_South-West,1995,2012
82602000,UK_Scotland,1978,2012
82603000,UK_Northern-Ireland,1993,2012
